source,binarize,gt,lt,vol,features,outputs,h1,h2,epochs,Lambda,Reg,alpha,experiment_time,last_mean_training_loss,last_mean_validation_loss,last_mean_training_loss_slope,last_mean_validation_loss_slope,best_last_epoch,best_last_mean_validation_loss
G,True,0,10.0,0,29,2,1,1,20,0.0001,L1,0.0001,3.51,0.34,0.38,-0.00517209690894,-0.00378199760766,19.0,0.38
G,True,0,10.0,0,29,2,2,2,20,0.1,L1,0.0001,3.36,0.3,0.34,-0.0006024034445090001,-0.00195678827751,19.0,0.34
G,True,0,10.0,0,29,2,15,15,20,0.1,L2,0.01,3.89,0.19,0.27,-0.00165641668273,0.0005622009569380001,13.0,0.27
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.01,3.69,0.16,0.28,-0.00325592828224,0.00195977870813,2.0,0.26
G,True,0,10.0,0,29,2,100,100,20,1.0,L1,0.01,7.0,0.19,0.27,-0.000479275110854,0.000445574162679,8.0,0.26
G,True,0,10.0,0,29,2,50,50,20,1.0,L1,0.01,4.48,0.15,0.28,-0.000695585116638,5.6818181817800015e-06,1.0,0.26
G,True,0,10.0,0,29,2,5,5,20,1.0,L1,0.1,3.3,0.21,0.27,0.000136912794808,-0.000473235645933,19.0,0.27
G,True,0,10.0,0,29,2,1,1,20,0.01,L2,0.0001,3.1,0.45,0.47,-0.007944830023779999,-0.0064026614832499995,19.0,0.47
G,True,0,10.0,0,29,2,50,50,20,0.1,L2,0.1,3.95,0.27,0.29,0.00380026990553,-0.0014448265550200002,19.0,0.29
G,True,0,10.0,0,29,2,10,10,20,1.0,L1,0.1,3.28,0.16,0.29,0.00399219201851,-0.00104979066986,19.0,0.29
G,True,0,10.0,0,29,2,10,10,20,0.001,L2,0.0001,3.32,0.38,0.4,-0.0100621746674,-0.00671620813397,19.0,0.4
G,True,0,10.0,0,29,2,1,1,20,0.0001,L1,0.001,2.99,0.17,0.28,-0.0038904954694400002,-0.00013711124401899998,19.0,0.28
G,True,0,10.0,0,29,2,15,15,20,1.0,L1,0.1,3.31,0.2,0.28,0.0031896729002,-0.00055158492823,4.0,0.27
G,True,0,10.0,0,29,2,15,15,20,0.001,L1,0.1,3.37,0.13,0.31,-0.004661236424390001,0.0032247308612399998,3.0,0.28
G,True,0,10.0,0,29,2,10,10,20,0.1,L1,0.001,3.37,0.23,0.28,0.005436957779060001,-0.000261363636364,19.0,0.28
G,True,0,10.0,0,29,2,5,5,20,1.0,L2,0.001,3.83,0.28,0.29,-0.0015179937022000002,-0.0013657296650700001,19.0,0.29
G,True,0,10.0,0,29,2,15,15,20,0.01,L1,0.0001,3.46,0.52,0.45,-0.007005333847439999,-0.00830128588517,19.0,0.45
G,True,0,10.0,0,29,2,15,15,20,1.0,L2,0.01,3.5,0.23,0.27,0.0006090868196130001,0.00011827153109999999,1.0,0.26
G,True,0,10.0,0,29,2,10,10,20,1.0,L2,0.0001,3.39,0.46,0.44,-0.00377883812094,-0.00436602870813,19.0,0.44
G,True,0,10.0,0,29,2,5,5,20,0.001,L1,0.001,3.53,0.19,0.27,-0.00110664481717,-0.000172398325359,19.0,0.27
G,True,0,10.0,0,29,2,50,50,20,0.01,L1,0.0001,4.52,0.27,0.27,0.00177331148384,-0.000295903110048,19.0,0.27
G,True,0,10.0,0,29,2,5,5,20,0.0001,L2,0.0001,3.35,0.25,0.3,-0.0027868388921,-0.00176824162679,19.0,0.3
G,True,0,10.0,0,29,2,15,15,20,0.0001,L1,0.01,3.67,0.14,0.28,-0.0030597326650000003,0.00132969497608,1.0,0.26
G,True,0,10.0,0,29,2,50,50,20,1.0,L2,0.0001,4.09,0.31,0.31,-0.000538236617184,-0.0007061901913879999,19.0,0.31
G,True,0,10.0,0,29,2,2,2,20,0.01,L1,0.001,3.18,0.21,0.28,-0.00105835100572,-0.000526614832536,19.0,0.28
G,True,0,10.0,0,29,2,15,15,20,0.01,L1,0.01,3.36,0.25,0.26,1.06355632672e-05,-0.000279754784689,19.0,0.26
G,True,0,10.0,0,29,2,10,10,20,1.0,L1,0.01,3.27,0.15,0.28,0.000193464430307,-0.000200956937799,2.0,0.26
G,True,0,10.0,0,29,2,1,1,20,0.0001,L2,0.01,3.09,0.21,0.27,0.000139097744361,-0.000280801435407,19.0,0.27
G,True,0,10.0,0,29,2,5,5,20,0.01,L2,0.1,3.27,0.27,0.27,0.00255745132061,0.0008018839712919999,18.0,0.27
G,True,0,10.0,0,29,2,5,5,20,0.0001,L1,0.0001,3.26,0.34,0.35,-0.00167804125699,-0.00298310406699,19.0,0.35
